Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
cpp||Classes and Objects,https://www.w3schools.com/cpp/cpp_classes.asp,,"['C++ Classes/Objects', 'Create a Class', 'Create an Object', 'Multiple Objects']","['C++ is an object-oriented programming language.Everything in C++ is associated with classes and objects, along with its attributes and \nmethods. For example: in real life, a car is an object. The car has attributes, such as weight and color, and \nmethods, such as drive and brake.Attributes and methods are basically variables and \nfunctions that belongs to the class. These are often referred to as \n""class members"".A class is a user-defined data type that we can use in our program, and it \nworks as an object constructor, or a ""blueprint"" for creating objects.', 'To create a class, use the class keyword:', 'In C++, an object is created from a class. We have already created the class named MyClass, \nso now we can use this to create objects.To create an object of MyClass, specify the \nclass name, followed by the object name.To access the class attributes (myNum and myString), use the dot syntax (.) \non the object:', 'You can create multiple objects of one class:']","['\n  class MyClass {\xa0 \xa0\xa0\xa0\xa0 \n  // The class\xa0 public:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Access specifier\xa0\xa0\xa0 int myNum;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // \n  Attribute (int variable)\xa0\xa0\xa0 string myString;\xa0 // \n  Attribute (string variable)};\n', '\n  class MyClass {\xa0 \xa0\xa0\xa0\xa0 // The class\xa0 public:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Access specifier\xa0\xa0\xa0 int myNum;\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // \n  Attribute (int variable)\xa0\xa0\xa0 string myString;\xa0 // \n  Attribute (string variable)};int main() {\xa0 MyClass myObj;\xa0 \n  // Create an object of MyClass\xa0 // Access attributes and set values\xa0 myObj.myNum \n  = 15;\xa0\xa0 \n  myObj.myString = ""Some text"";\xa0 // Print attribute values\xa0 \n  cout << myObj.myNum\xa0<< ""\\n""; \xa0 cout << myObj.myString; \xa0 return 0;}\n', '\n  // Create a Car class with some attributesclass Car {\xa0 public:\xa0\xa0\xa0 string brand;\xa0\xa0\xa0\xa0\xa0\xa0 string model;\xa0\xa0\xa0 int \n  year;};int main() {\xa0 // Create an object of Car\xa0 Car carObj1;\xa0 carObj1.brand = ""BMW"";\xa0 \n  carObj1.model = ""X5"";\xa0 carObj1.year = 1999;\xa0 \n  // Create another object of Car\xa0 Car \n  carObj2;\xa0 carObj2.brand = ""Ford"";\xa0 carObj2.model = \n  ""Mustang"";\xa0 carObj2.year = 1969;\xa0 // Print \n  attribute values\xa0 cout << carObj1.brand \n  << "" "" << carObj1.model << "" "" << carObj1.year << ""\\n"";\xa0 cout << \n  carObj2.brand << "" "" << carObj2.model << "" "" << carObj2.year << ""\\n"";\xa0 return 0;}\n', '']",[''],[],[]
cpp||Class Methods,https://www.w3schools.com/cpp/cpp_class_methods.asp,,"['Class Methods', 'Parameters']","['Methods are functions that belongs to the class.There are two ways to define functions that belongs to a class:In the following example, we define a function inside the class, and we name \nit ""myMethod"".Note: You access methods just like you access attributes; by creating an object of \nthe class and using the dot syntax (.):To define a function outside the class definition, you have to declare it \ninside the class and then define it outside of the class. This is done by specifiying the \nname of the class, followed the scope resolution :: operator, \nfollowed by the name of the function:', 'You can also add parameters:']","['\n  class MyClass {\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // The class\xa0 \n  public:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Access specifier\xa0\xa0\xa0 void myMethod() {\xa0 // Method/function \n  defined inside the \n  class\xa0\xa0\xa0\xa0\xa0 cout << ""Hello World!"";\xa0\xa0\xa0 \n  }};int main() {\xa0 MyClass \n  myObj;\xa0\xa0\xa0\xa0 // Create an object of MyClass\xa0 \n  myObj.myMethod();\xa0 // Call the method\xa0 return 0;}\n', '\n  class MyClass {\xa0\xa0\xa0\xa0\xa0\xa0\xa0 // The class\xa0 \n  public:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Access specifier\xa0\xa0\xa0 void myMethod();\xa0\xa0 // Method/function \n  declaration};\n// Method/function definition outside the classvoid \n  MyClass::myMethod() {\xa0 cout << ""Hello World!"";}int main() {\xa0 MyClass \n  myObj;\xa0\xa0\xa0\xa0 // Create an object of MyClass\xa0 \n  myObj.myMethod();\xa0 // Call the method\xa0 return 0;}\n']",['Class Methods###&&&|||Inside class definition|||Outside class definition|||'],[],[]
cpp||Constructors,https://www.w3schools.com/cpp/cpp_constructors.asp,,"['Constructors', 'Constructor Parameters']","['A constructor in C++ is a special method that is \nautomatically called when an object of a class is created.To create a constructor, use the same name as the class, followed by \nparentheses ():', 'Constructors can also take parameters (just like regular functions), which can be \nuseful for setting initial values for attributes.The following class have brand, model and year attributes, and a constructor with \ndifferent parameters. Inside the constructor we set the attributes equal to the \nconstructor parameters (brand=x, etc). When we call the constructor \n(by creating an object of the class), we pass parameters to the constructor, which will set the value of \nthe corresponding attributes to the same:Just like functions, constructors can also be defined outside the class. \nFirst, declare the constructor inside the class, and then define it outside of the \nclass by specifying the name of the class, followed by the scope resolution :: \noperator, followed by the name of the constructor (which is the same as the \nclass):']","['\n  class MyClass {\xa0\xa0\xa0\xa0 // The class\xa0 \n  public:\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \n  // Access specifier\xa0\xa0\xa0 MyClass() {\xa0\xa0\xa0\xa0 \n  // Constructor\xa0\xa0\xa0\xa0\xa0 cout << ""Hello World!"";\xa0\xa0\xa0 \n  }};int main() {\xa0 MyClass myObj;\xa0\xa0\xa0 // Create an object of MyClass (this will call \n  the constructor)\xa0 return 0;}\n', '']",[''],[],[]
cpp||Access Specifiers,https://www.w3schools.com/cpp/cpp_access_specifiers.asp,,['Access Specifiers'],"[""By now, you are quite familiar with the public keyword that appears in all of our class examples:The public keyword is an access specifier. \nAccess specifiers define how the members (attributes and methods) of a class can \nbe accessed. In the example above, the members are public - which means that they \ncan be accessed and modified from outside the code. However, what if we want \nmembers to be private and hidden from the outside world? In C++, there are three access specifiers:In the following example, we demonstrate the differences between public and private members:Note: By default, all members of a class are private if you don't specify an access specifier:""]",[''],"['Access Specifiers###&&&|||public - members are accessible from outside the class|||private - members cannot be accessed (or |||viewed) from outside the class|||protected - members cannot be accessed from |||outside the class, however, they can be accessed in inherited classes. You will learn more about Inheritance later.|||']",[],[]
cpp||Encapsulation,https://www.w3schools.com/cpp/cpp_encapsulation.asp,,['Encapsulation'],"['The meaning of Encapsulation, is to make sure that \n""sensitive"" data is hidden from users. To achieve this, you must declare class variables/attributes as private (cannot \nbe accessed from outside the class). If you want others to read or modify the \nvalue of a private member, you can provide public get and \nset methods.\nAccess Private Members\nTo access a private attribute, use public ""get"" and ""set"" methods:\n\nExample\n\n    #include <iostream>using namespace std;class Employee {\xa0 \n    private:\xa0\xa0\xa0 // Private attribute\xa0\xa0\xa0 int salary;\xa0 public:\xa0\xa0\xa0 \n    // Setter\xa0\xa0\xa0 \n    void setSalary(int s) {\xa0\xa0\xa0\xa0\xa0 salary = s;\xa0\xa0\xa0 }\xa0\xa0\xa0 \n    // Getter\xa0\xa0\xa0 int getSalary() {\xa0\xa0\xa0\xa0\xa0 \n    return salary;\xa0\xa0\xa0 }};int \n    main() {\xa0 Employee myObj;\xa0 myObj.setSalary(50000);\xa0 \n    cout << myObj.getSalary();\xa0 return 0;}\nTry it Yourself »\n\nExample explained\nThe salary attribute is private, \nwhich have restricted access.\nThe public setSalary() method takes a parameter (s) and assigns it to the\nsalary attribute (salary = s).\nThe public getSalary() method returns the value of \nthe private salary attribute.\nInside main(), we create an object of the Employee class. Now we can use the \nsetSalary() method to set the value of the \nprivate attribute to 50000. Then we call the \ngetSalary() method on the object to return the value.\n\nWhy Encapsulation?\n\nIt is considered good practice to declare your class attributes as private (as \noften as you can). Encapsulation ensures better control of your data, \nbecause you (or others) can change one part of the code without affecting other parts\nIncreased security of data\n\n\n\n❮ Previous\nNext ❯\n\n\n\n', 'To access a private attribute, use public ""get"" and ""set"" methods:The salary attribute is private, \nwhich have restricted access.The public setSalary() method takes a parameter (s) and assigns it to the\nsalary attribute (salary = s).The public getSalary() method returns the value of \nthe private salary attribute.Inside main(), we create an object of the Employee class. Now we can use the \nsetSalary() method to set the value of the \nprivate attribute to 50000. Then we call the \ngetSalary() method on the object to return the value.']",['\n    #include <iostream>using namespace std;class Employee {\xa0 \n    private:\xa0\xa0\xa0 // Private attribute\xa0\xa0\xa0 int salary;\xa0 public:\xa0\xa0\xa0 \n    // Setter\xa0\xa0\xa0 \n    void setSalary(int s) {\xa0\xa0\xa0\xa0\xa0 salary = s;\xa0\xa0\xa0 }\xa0\xa0\xa0 \n    // Getter\xa0\xa0\xa0 int getSalary() {\xa0\xa0\xa0\xa0\xa0 \n    return salary;\xa0\xa0\xa0 }};int \n    main() {\xa0 Employee myObj;\xa0 myObj.setSalary(50000);\xa0 \n    cout << myObj.getSalary();\xa0 return 0;}'],"['Why Encapsulation?###&&&|||It is considered good practice to declare your class attributes as private (as |||often as you can). Encapsulation ensures better control of your data, |||because you (or others) can change one part of the code without affecting other parts|||Increased security of data|||']",[],[]
cpp||Inheritance,https://www.w3schools.com/cpp/cpp_inheritance.asp,,['Inheritance'],"['In C++, it is possible to inherit attributes and methods from one class to another. We group the ""inheritance concept"" into two categories:To inherit from a class, use the : symbol.In the example below, the Car class \n(child) inherits the attributes and methods from the Vehicle class \n(parent):']","['\n    // Base classclass Vehicle {\xa0 public: \xa0\xa0\xa0 \n    string brand = ""Ford"";\xa0\xa0\xa0 void honk() {\xa0\xa0\xa0\xa0\xa0 \n    cout << ""Tuut, tuut! \\n"" ;\xa0\xa0\xa0 }};// Derived \n    classclass Car: public Vehicle {\xa0 public: \xa0\xa0\xa0 \n    string model = ""Mustang"";};int main() {\xa0 Car myCar;\xa0 \n    myCar.honk();\xa0 cout << myCar.brand + "" "" + myCar.model;\xa0 \n    return 0;}']",['Inheritance###&&&|||derived class (child) - the class that inherits from another class|||base class (parent) - the class being inherited from|||'],[],[]
cpp||Inheritance,https://www.w3schools.com/cpp/cpp_inheritance.asp,,['Inheritance'],"['In C++, it is possible to inherit attributes and methods from one class to another. We group the ""inheritance concept"" into two categories:To inherit from a class, use the : symbol.In the example below, the Car class \n(child) inherits the attributes and methods from the Vehicle class \n(parent):']","['\n    // Base classclass Vehicle {\xa0 public: \xa0\xa0\xa0 \n    string brand = ""Ford"";\xa0\xa0\xa0 void honk() {\xa0\xa0\xa0\xa0\xa0 \n    cout << ""Tuut, tuut! \\n"" ;\xa0\xa0\xa0 }};// Derived \n    classclass Car: public Vehicle {\xa0 public: \xa0\xa0\xa0 \n    string model = ""Mustang"";};int main() {\xa0 Car myCar;\xa0 \n    myCar.honk();\xa0 cout << myCar.brand + "" "" + myCar.model;\xa0 \n    return 0;}']",['Inheritance###&&&|||derived class (child) - the class that inherits from another class|||base class (parent) - the class being inherited from|||'],[],[]
cpp||Multilevel Inheritance,https://www.w3schools.com/cpp/cpp_inheritance_multilevel.asp,,['Multilevel Inheritance'],"['A class can also be derived from one class, which is already derived from \nanother class.In the following example, MyGrandChild is derived from class MyChild (which is derived \nfrom MyClass).']","['\n    // Base class (parent)class MyClass {\xa0 public: \xa0\xa0\xa0 void \n    myFunction() {\xa0\xa0\xa0\xa0\xa0 \n    cout << ""Some content in parent class."" ;\xa0\xa0\xa0 }};// \n    Derived \n    class (child)class MyChild: public MyClass {};// Derived class \n    (grandchild) class MyGrandChild: public MyChild {};int main() {\xa0 \n    MyGrandChild myObj;\xa0 \n    myObj.myFunction();\xa0 \n    return 0;}']",[''],[],[]
cpp||Multiple Inheritance,https://www.w3schools.com/cpp/cpp_inheritance_multiple.asp,,['Multiple Inheritance'],"['A class can also be derived from more than one base class, using a comma-separated list:']","['\n    // Base classclass MyClass {\xa0 public: \xa0\xa0\xa0 void \n    myFunction() {\xa0\xa0\xa0\xa0\xa0 \n    cout << ""Some content in parent class."" ;\xa0\xa0\xa0 }};// \n    Another base classclass MyOtherClass {\xa0 public: \xa0\xa0\xa0 void \n    myOtherFunction() {\xa0\xa0\xa0\xa0\xa0 \n    cout << ""Some content in another class."" ;\xa0\xa0\xa0 }};// \n    Derived \n    class class MyChildClass: public MyClass, public MyOtherClass {};int main() {\xa0 \n    MyChildClass myObj;\xa0 \n    myObj.myFunction();\xa0 myObj.myOtherFunction();\xa0 \n    return 0;}']",[''],[],[]
cpp||Inheritance Access,https://www.w3schools.com/cpp/cpp_inheritance_access.asp,,['Access Specifiers'],"['You learned from the Access Specifiers chapter that there are three \nspecifiers available in C++. Until now, we have only used public (members of a \nclass are accessible from outside the class) and private (members can only be \naccessed within the class). The third specifier, protected, is similar to \nprivate, but it can also be accessed in the \ninherited class:']",[''],[''],[],[]
cpp||Polymorphism,https://www.w3schools.com/cpp/cpp_polymorphism.asp,,['Polymorphism'],"['Polymorphism means ""many forms"", and it occurs when we have many classes that are related to each other by inheritance.Like we specified in the previous chapter; \nInheritance lets us \ninherit attributes and methods from another class. Polymorphism \nuses those methods to perform different tasks. This allows us to perform a single \naction in different ways.For example, think of a base class called Animal that has a method called animalSound(). Derived classes of Animals could be Pigs, Cats, Dogs, Birds - And they also have their own implementation of an animal sound (the pig oinks, and the cat meows, etc.):Now we can create Pig and \nDog objects and override the animalSound() method:']",[''],[''],[],[]
cpp||Files,https://www.w3schools.com/cpp/cpp_files.asp,,"['C++ Files', 'Create and Write To a File', 'Read a File']","['The fstream library allows us to work with files.To use the fstream library, include both the standard <iostream> AND the <fstream> header file:There are three classes included in the fstream library, \nwhich are used to create, write or read files:', 'To create a file, use either the ofstream or fstream class, \nand specify the name of the file.To write to the file, use the insertion operator (<<).', 'To read from a file, use either the ifstream or fstream \nclass, and the name of the file.Note that we also use a while loop together with the getline() function \n(which belongs to the ifstream class) to read the file line by line, and to print the content of the file:']","['\n    #include <iostream>#include <fstream>', '\n    #include <iostream>#include <fstream>using namespace std;\n    int main() {\xa0 // Create and open a text file\xa0 ofstream MyFile(""filename.txt"");\xa0 // \n    Write to the file\xa0 MyFile << ""Files can be tricky, but it is fun \n    enough!"";\xa0 // \n    Close the file\xa0 MyFile.close();}', '']",[''],"['Class|||Description|||&&&ofstream|||Creates and writes to files|||&&&ifstream|||Reads from files|||&&&fstream|||A combination of ofstream and ifstream: creates, reads, and writes to files|||&&&']",[]
cpp||Exceptions,https://www.w3schools.com/cpp/cpp_exceptions.asp,,"['C++ Exceptions', 'C++ try and catch', 'Handle Any Type of Exceptions (...)']","['When executing C++ code, different errors can occur: coding errors made by the programmer, errors due to wrong input, \nor other unforeseeable things.When an error occurs, C++ will normally stop and generate an error message. The technical term for this is: C++ will throw an exception (throw an error).', 'Exception handling in C++ consist of three keywords: try, throw and catch:The try statement allows you to define a block of code to be \ntested for errors while it is being executed.The throw keyword throws an exception when a \nproblem is detected, which lets us create a custom error.The catch statement allows you to define a block of code to \nbe executed, if an error occurs in the try block.The try and catch keywords \ncome in pairs:Consider the following example:We use the try block to test some code: If the age variable is less than 18, we will throw an exception, and handle it in our catch block.In the catch block, we catch the error and \ndo something about it. The catch \nstatement takes a parameter: in our example we use an int variable (myNum) (because we are throwing an exception of int type in the try block (age)), \nto output the value of age.If no error occurs (e.g. if age is 20 instead of 15, \nmeaning it will be be greater \nthan 18), the catch block is skipped:You can also use the throw keyword to output a reference number, like a \ncustom error number/code for organizing purposes:', 'If you do not know the throw type used in the try block, you can use the ""three dots"" syntax (...) inside the catch block, which will handle any type of exception:']","['\n    try {\xa0\xa0// Block of code to try\xa0 throw exception; \n    // Throw an exception when a problem arise}catch () {\n    \xa0\xa0// Block of code to handle errors} &&&&&& \n    try {\xa0 int age = 15;\xa0 if (age >= 18) {\xa0\xa0\xa0 \n    cout << ""Access granted - you are old enough."";\xa0 } else {\xa0\xa0\xa0 \n    throw (age);\xa0 }}catch (int \n    myNum) {\xa0 cout << ""Access denied - You must be at least 18 years \n    old.\\n"";\xa0 cout << ""Age is: "" << myNum; } &&&&&& \n    int age = 20; &&&&&& \n    try {\xa0 int age = 15;\xa0 if (age >= 18) {\xa0\xa0\xa0 \n    cout << ""Access granted - you are old enough."";\xa0 } else {\xa0\xa0\xa0 \n    throw 505;\xa0 }}catch (int myNum) {\xa0 \n    cout << ""Access denied - You must be at least 18 years old.\\n"";\xa0 \n    cout << ""Error number: "" << myNum; }', '', '']",[''],[],[]
cpp||How To Add Two Numbers,https://www.w3schools.com/cpp/cpp_howto_add_two_numbers.asp,,"['Add Two Numbers', 'Add Two Numbers with User Input']","['Learn how to add two numbers in C++:', 'In this example, the user must input two numbers. Then we print the \nsum by calculating (adding) the two numbers:']","['\n  int x = 5;int y = 6;int sum = x + y;cout << sum;', '\n  int x, y;int sum;cout << ""Type a number: "";cin >> x;cout << ""Type another number: "";cin >> \n  y;sum = x + y;cout << ""Sum is: "" << sum;']",[''],[],[]
cpp||Examples,https://www.w3schools.com/cpp/cpp_examples.asp,,"['C++ Syntax', 'C++ Output/Print', 'C++ Comments', 'C++ Variables', 'C++ User Input', 'C++ Data Types', 'C++ Operators', 'C++ Strings', 'C++ Math', 'C++ Booleans', 'C++ If...Else (Conditions)', 'C++ Switch', 'C++ Loops', 'C++ Arrays', 'C++ References', 'C++ Pointers', 'C++ Files', 'C++ Functions', 'C++ Classes/Objects']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",[''],[],[]
cpp||Online Compiler,https://www.w3schools.com/cpp/cpp_compiler.asp,,"['C++ Compiler (Editor)', 'C++ Compiler Explained']","['With our online C++ compiler, you can edit C++ code, and view the result in your browser.Click on the ""Try it Yourself"" button to see how it works.', 'The window to the left is editable - edit the code and click on the ""Run"" button to view the result in the right window.The icons are explained in the table below:']","['', '']",[''],['Icon|||Description|||&&&|||Go to www.w3schools.com|||&&&|||Menu button for more options|||&&&|||Change orientation (horizontally or vertically)|||&&&|||Change color theme (dark or light)|||&&&'],[]
cpp||Exercises,https://www.w3schools.com/cpp/cpp_exercises.asp,You can test your C++ skills with W3Schools' Exercises.,[],"[""We have gathered a variety of C++ exercises (with answers) for each C++ Chapter.Try to solve an exercise by editing some code, or show the answer to see what you've done wrong.You will get 1 point for\neach correct answer. Your score and total score will always be displayed.""]",[],[''],[],[]
cpp||Quiz,https://www.w3schools.com/cpp/cpp_quiz.asp,You can test your C++ skills with W3Schools' Quiz.,"['The Test', 'Count Your Score']","[""The test contains 25 questions and there is no time limit.The test is not official, it's just a nice way to see how much you know, or don't know, about \nC++.You will get 1 point for each correct answer. At the end of the Quiz,\nyour total score will be displayed. Maximum score is 25 points."", '']","['', '']",[''],[],[]
